Site	LUtype	Chamber	SampleDate	Season	StartTime	RowInter	AirTmpStart	AirTmpEnd	SoilTmpEnd	SoilMoisPercent	DOC	NFert	FertDateMaizePlanting	FertTimeElapsedMaizePlanting	FertDateMaizeBroadcast	FertTimeElapsedMaizeBroadcast		
M1	M	E	2013.06.27	Dry	9:40	NA	28.0	36.5	32.0	0.135763916	NA	Y	2014.03.04	-250	Unknown	NA		
M1	M	A	2013.07.01	Dry	13:35	NA	31.5	33.5	25.0	0.127443568	NA	Y	2014.03.04	-246	Unknown	NA		
M1	M	B	2013.07.01	Dry	13:35	NA	31.5	33.5	35.0	0.110247494	NA	Y	2014.03.04	-246	Unknown	NA		
M1	M	C	2013.07.01	Dry	13:35	NA	31.5	33.5	26.0	0.107972073	NA	Y	2014.03.04	-246	Unknown	NA		
M1	M	D	2013.07.01	Dry	13:35	NA	31.5	33.5	23.0	0.110121133	NA	Y	2014.03.04	-246	Unknown	NA		
M1	M	E	2013.07.01	Dry	13:35	NA	31.5	33.5	27.0	0.126387397	NA	Y	2014.03.04	-246	Unknown	NA		
M1	M	A	2013.07.04	Dry	10:00	NA	33.0	35.5	21.0	0.136241868	NA	Y	2014.03.04	-243	Unknown	NA		
M1	M	B	2013.07.04	Dry	10:00	NA	33.0	35.5	23.0	0.121064654	NA	Y	2014.03.04	-243	Unknown	NA		
M1	M	C	2013.07.04	Dry	10:00	NA	33.0	35.5	32.0	0.118646723	NA	Y	2014.03.04	-243	Unknown	NA		
M1	M	D	2013.07.04	Dry	10:00	NA	33.0	35.5	21.0	0.131409974	NA	Y	2014.03.04	-243	Unknown	NA		
M1	M	E	2013.07.04	Dry	10:00	NA	33.0	35.5	30.0	0.123650161	NA	Y	2014.03.04	-243	Unknown	NA		
M1	M	A	2013.07.17	Dry	10:10	NA	32.5	45.0	26.0	0.115646259	NA	Y	2014.03.04	-230	Unknown	NA		
M1	M	B	2013.07.17	Dry	10:10	NA	32.5	45.0	26.0	0.103807107	NA	Y	2014.03.04	-230	Unknown	NA		
M1	M	C	2013.07.17	Dry	10:10	NA	32.5	45.0	25.0	0.117865429	NA	Y	2014.03.04	-230	Unknown	NA		
M1	M	D	2013.07.17	Dry	10:10	NA	32.5	45.0	24.0	0.12720633	NA	Y	2014.03.04	-230	Unknown	NA		
M1	M	E	2013.07.17	Dry	10:10	NA	32.5	45.0	24.0	0.117344897	NA	Y	2014.03.04	-230	Unknown	NA		
M1	M	A1	2013.07.19	Dry	9:45	NA	38.5	46.0	27.0	0.103303965	NA	Y	2014.03.04	-228	Unknown	NA		
M1	M	A2	2013.07.19	Dry	9:45	NA	38.5	46.0	27.0	0.096953642	NA	Y	2014.03.04	-228	Unknown	NA		
M1	M	B1	2013.07.19	Dry	9:45	NA	38.5	46.0	24.0	0.120389927	NA	Y	2014.03.04	-228	Unknown	NA		
M1	M	B2	2013.07.19	Dry	9:45	NA	38.5	46.0	24.0	0.096248535	NA	Y	2014.03.04	-228	Unknown	NA		
M1	M	C1	2013.07.19	Dry	9:45	NA	38.5	46.0	24.0	0.120851064	NA	Y	2014.03.04	-228	Unknown	NA		
M1	M	C2	2013.07.19	Dry	9:45	NA	38.5	46.0	24.0	0.115748964	NA	Y	2014.03.04	-228	Unknown	NA		
M1	M	A	2013.12.19	Wet	8:50	NA	25.5	31.5	26.0	0.255507635	NA	Y	2014.03.04	-75	Unknown	NA		
